OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductCategory,SubCategory,Quantity,UnitPrice,Discount,SalesAmount,Profit,PaymentMode,CustomerSegment,SalesRep
ORD-100011,2023-06-26,CUST-6164,Terry Ramirez,Lagos,South West,PROD-391,Electronics,Phones,6,100282.59,0.14,517458.16,38314.6,Online,VIP,Robert
ORD-100012,2024-06-27,CUST-4677,Richard Wilson,Enugu,South East,PROD-644,Beauty,Makeup,10,77725.06,0.09,707298.05,137237.27,Online,New,Donald
ORD-100013,2023-04-12,CUST-2718,Brianna Powers,Abeokuta,South West,PROD-309,Beauty,Haircare,7,60382.18,0.1,380407.73,37414.01,Cash,Regular,Donald
ORD-100014,2023-09-16,CUST-9342,Bryan Stark,Abuja,North Central,PROD-404,Electronics,Laptops,2,40419.49,0.03,78413.81,21852.19,POS,Regular,Robert
ORD-100015,2023-04-28,CUST-4992,Morgan Barton,Kano,North West,PROD-578,Beauty,Makeup,7,60686.98,0.2,339847.09,76538.09,Online,Regular,Rebecca
ORD-100016,2023-08-30,CUST-1334,Ryan Edwards,Abeokuta,South West,PROD-709,Beauty,Makeup,2,95665.53,0.2,153064.85,21040.63,POS,VIP,Scott
ORD-100017,2024-06-11,CUST-3989,Cassidy Hogan,Abuja,North Central,PROD-438,Electronics,Phones,5,147895.93,0.22,576794.13,77562.54,Online,Regular,Brian
ORD-100018,2024-09-14,CUST-7585,Michael Nash,Abuja,North Central,PROD-232,Beauty,Haircare,4,10411.11,0.14,35814.22,8717.09,Cash,Regular,Robert
ORD-100019,2023-08-26,CUST-3056,Andrew Holmes,Abuja,North Central,PROD-618,Beauty,Makeup,8,149598.7,0.29,849720.62,236100.92,Cash,New,Christopher
ORD-100020,2024-11-28,CUST-2239,Tracy Floyd,Enugu,South East,PROD-505,Beauty,Skincare,4,92749.6,0.3,259698.88,49739.66,Online,Regular,Allison
ORD-100021,2024-09-07,CUST-5713,Sherry Manning,Port Harcourt,South South,PROD-352,Clothing,Men's Wear,4,52766.21,0.25,158298.63,11733.78,POS,VIP,Christopher
ORD-100022,2024-01-15,CUST-9722,James Wilson,Lagos,South West,PROD-164,Beauty,Haircare,6,139120.62,0.06,784640.3,148534.88,POS,New,Jeffrey
ORD-100023,2023-03-16,CUST-8939,Timothy Blair,Ibadan,South West,PROD-690,Home,Decor,10,87423.82,0.27,638193.89,171268.36,Cash,Regular,Brian
ORD-100024,2024-05-14,CUST-8681,Leslie Romero,Enugu,South East,PROD-303,Clothing,Kids,5,18426.61,0.18,75549.1,8422.1,Online,New,Andrew
ORD-100025,2023-10-25,CUST-4363,Adrian Rowe,Port Harcourt,South South,PROD-852,Electronics,Laptops,7,51400.37,0.23,277047.99,30269.04,POS,Regular,Donald
ORD-100026,2024-01-26,CUST-1811,Matthew Bolton,Enugu,South East,PROD-529,Electronics,Phones,3,138540.18,0.08,382370.9,95695.27,Cash,New,Donald
ORD-100027,2024-12-21,CUST-6489,Dawn Ford,Benin City,South South,PROD-307,Clothing,Kids,2,90782.16,0.16,152514.03,42266.22,Cash,VIP,Renee
ORD-100028,2023-01-25,CUST-8758,Nicole Elliott,Benin City,South South,PROD-400,Beauty,Makeup,1,102425.51,0.03,99352.74,17396.98,Cash,Regular,Renee
ORD-100029,2024-07-24,CUST-7376,Natalie Jones,Enugu,South East,PROD-919,Home,Kitchen,7,68851.45,0.04,462681.74,136783.73,POS,Regular,Renee
ORD-100030,2024-12-30,CUST-1797,William Howard,Benin City,South South,PROD-276,Beauty,Haircare,5,67405.6,0.05,320176.6,95020.23,POS,New,Robert
ORD-100031,2023-07-04,CUST-6382,Christopher Howard,Ibadan,South West,PROD-279,Clothing,Men's Wear,10,26603.98,0.07,247417.01,65460.35,POS,Regular,Donald
ORD-100032,2023-04-01,CUST-3598,James White,Ibadan,South West,PROD-795,Electronics,Phones,7,21946.01,0.3,107535.45,17654.01,Cash,Regular,Robert
ORD-100033,2023-10-18,CUST-9992,William George,Kano,North West,PROD-338,Clothing,Kids,1,42175.88,0.22,32897.19,3154.67,Online,New,Allison
ORD-100034,2024-06-13,CUST-9184,Timothy Lucero,Kano,North West,PROD-475,Home,Furniture,1,131831.51,0.25,98873.63,21418.0,POS,Regular,Brian
ORD-100035,2024-04-29,CUST-5458,Beth Brennan,Abeokuta,South West,PROD-140,Beauty,Haircare,7,72414.86,0.17,420730.34,85603.41,Cash,New,Donald
ORD-100036,2024-05-20,CUST-6537,Samantha Andrews,Lagos,South West,PROD-309,Electronics,Accessories,10,47390.69,0.03,459689.69,102497.7,POS,New,Allison
ORD-100037,2023-10-27,CUST-1268,Michael Andrews,Port Harcourt,South South,PROD-690,Beauty,Skincare,8,124919.0,0.1,899416.8,255783.92,Cash,New,Jerry
ORD-100038,2023-07-05,CUST-8611,Donna Johnson MD,Ibadan,South West,PROD-213,Beauty,Makeup,4,31098.58,0.17,103247.29,18967.4,POS,Regular,Renee
ORD-100039,2023-05-22,CUST-7558,Janet Hall,Port Harcourt,South South,PROD-570,Home,Decor,8,56827.53,0.16,381881.0,98765.6,Online,VIP,Scott
ORD-100040,2024-07-07,CUST-2617,Jordan Padilla,Port Harcourt,South South,PROD-372,Home,Decor,7,39233.15,0.18,225198.28,54151.83,POS,VIP,Kimberly
ORD-100041,2023-03-02,CUST-8792,Jeffrey Hernandez,Abeokuta,South West,PROD-104,Home,Furniture,5,37121.31,0.08,170758.03,21872.81,Cash,VIP,Jerry
ORD-100042,2023-05-31,CUST-9035,Katherine Church,Kano,North West,PROD-256,Clothing,Men's Wear,3,58034.03,0.26,128835.55,30718.2,Online,Regular,Allison
ORD-100043,2024-04-09,CUST-3983,Karen Freeman,Ibadan,South West,PROD-723,Clothing,Men's Wear,9,21310.75,0.05,182206.91,37403.5,Online,Regular,Christopher
ORD-100044,2024-11-07,CUST-3159,Shirley Rivera,Abuja,North Central,PROD-432,Clothing,Men's Wear,4,11712.83,0.0,46851.32,8503.44,POS,New,Allison
ORD-100045,2023-09-11,CUST-7505,Karen Reid,Enugu,South East,PROD-147,Home,Furniture,3,23789.66,0.02,69941.6,11520.94,Cash,VIP,Jonathan
ORD-100046,2024-04-24,CUST-5460,Sue Ruiz,Kano,North West,PROD-282,Home,Decor,7,125594.82,0.06,826413.92,166524.8,Cash,New,Allison
ORD-100047,2024-12-30,CUST-7446,Eileen Lee,Kano,North West,PROD-661,Home,Kitchen,3,80418.86,0.19,195417.83,40085.08,Cash,New,Scott
ORD-100048,2023-03-05,CUST-1929,Leslie Harris,Abeokuta,South West,PROD-567,Electronics,Phones,9,20440.42,0.02,180284.5,39282.89,Online,New,Donald
ORD-100049,2024-05-22,CUST-4666,Alexandra Pearson,Lagos,South West,PROD-194,Electronics,Accessories,9,53942.62,0.28,349548.18,76496.94,Cash,VIP,Brian
ORD-100050,2023-08-11,CUST-5141,Christine Carpenter,Port Harcourt,South South,PROD-934,Electronics,Laptops,10,78079.16,0.18,640249.11,113623.04,POS,Regular,Renee
ORD-100051,2023-09-06,CUST-5619,Valerie Garcia,Abeokuta,South West,PROD-649,Electronics,Laptops,3,68761.77,0.17,171216.81,43002.72,POS,New,Rebecca
ORD-100052,2023-04-18,CUST-3033,Jacob Mcdonald,Abeokuta,South West,PROD-457,Home,Furniture,5,87271.05,0.16,366538.41,23357.62,Online,New,Renee
ORD-100053,2023-06-17,CUST-6736,Andrew Thornton,Enugu,South East,PROD-156,Home,Kitchen,3,130279.4,0.13,340029.23,39936.57,POS,VIP,Charles
ORD-100054,2023-07-31,CUST-9219,Briana Duncan,Abuja,North Central,PROD-452,Home,Decor,7,138319.94,0.23,745544.48,73091.08,Cash,New,Rebecca
ORD-100055,2024-04-28,CUST-4708,Emily Bradley,Benin City,South South,PROD-967,Electronics,Accessories,5,139200.57,0.04,668162.74,109945.77,Cash,VIP,Kimberly
ORD-100056,2024-01-05,CUST-4527,Edward Taylor,Kano,North West,PROD-475,Electronics,Accessories,3,100364.52,0.1,270984.2,13867.15,Cash,New,Christopher
ORD-100057,2023-01-19,CUST-4798,Rebecca Torres,Benin City,South South,PROD-940,Clothing,Kids,8,20052.46,0.21,126731.55,16499.39,Online,New,Robert
ORD-100058,2023-06-25,CUST-3521,Amber Rodriguez,Benin City,South South,PROD-836,Clothing,Kids,4,106420.79,0.19,344803.36,67058.73,POS,Regular,Andrew
ORD-100059,2024-04-11,CUST-4068,Alison Jones,Benin City,South South,PROD-717,Beauty,Makeup,4,9735.13,0.12,34267.66,4057.45,POS,New,Andrew
ORD-100060,2024-04-03,CUST-4204,Jesse Baker,Benin City,South South,PROD-122,Beauty,Makeup,6,51046.4,0.2,245022.72,14644.21,POS,Regular,Jonathan
ORD-100061,2024-01-16,CUST-7768,John Hardy,Abuja,North Central,PROD-263,Home,Furniture,4,22592.71,0.15,76815.21,7872.41,Online,New,Jonathan
ORD-100062,2024-01-07,CUST-6684,Timothy Byrd,Enugu,South East,PROD-261,Clothing,Men's Wear,9,58657.26,0.07,490961.27,109463.75,POS,Regular,Jonathan
ORD-100063,2023-08-07,CUST-8931,Robert Thornton,Benin City,South South,PROD-279,Home,Decor,1,106415.88,0.15,90453.5,24583.99,Cash,New,Robert
ORD-100064,2023-07-14,CUST-2374,Anthony Mitchell,Lagos,South West,PROD-313,Clothing,Women's Wear,3,39972.6,0.11,106726.84,18767.71,Online,VIP,Renee
ORD-100065,2023-03-24,CUST-8028,William Bowers,Abeokuta,South West,PROD-579,Beauty,Makeup,1,109608.03,0.19,88782.5,14226.73,Cash,New,Brian
ORD-100066,2024-01-27,CUST-4104,Travis Sullivan,Benin City,South South,PROD-601,Clothing,Women's Wear,4,123883.72,0.08,455892.09,78869.47,POS,New,Kimberly
ORD-100067,2024-02-21,CUST-1392,Adam Reynolds,Ibadan,South West,PROD-276,Electronics,Accessories,10,21587.73,0.19,174860.61,25157.21,Cash,New,Brian
ORD-100068,2023-11-20,CUST-8835,Carly Morton,Port Harcourt,South South,PROD-974,Beauty,Haircare,4,6197.96,0.3,17354.29,4942.82,Online,Regular,Jeffrey
ORD-100069,2023-05-11,CUST-3985,Darlene Williams,Abuja,North Central,PROD-173,Electronics,Laptops,6,120412.66,0.23,556306.49,87131.63,POS,New,Renee
ORD-100070,2023-03-10,CUST-6260,Sean Wagner,Ibadan,South West,PROD-992,Electronics,Phones,7,116646.66,0.15,694047.63,85630.64,POS,Regular,Brian
ORD-100071,2023-07-28,CUST-9445,Laura Nichols,Abeokuta,South West,PROD-551,Electronics,Phones,6,138072.9,0.11,737309.29,47185.08,Cash,New,Jonathan
ORD-100072,2023-10-03,CUST-4737,Diana George,Abeokuta,South West,PROD-845,Beauty,Haircare,3,29778.13,0.15,75934.23,16084.8,Online,New,Renee
ORD-100073,2024-04-13,CUST-4170,Gary Cooper,Port Harcourt,South South,PROD-833,Home,Decor,3,23446.85,0.07,65416.71,8241.65,Online,Regular,Donald
ORD-100074,2023-09-08,CUST-9703,Jessica Lee,Ibadan,South West,PROD-150,Beauty,Skincare,6,84954.39,0.07,474045.5,65249.12,Cash,VIP,Jeffrey
ORD-100075,2024-11-28,CUST-9618,Erin Shelton,Port Harcourt,South South,PROD-590,Home,Kitchen,10,38513.82,0.01,381286.82,55462.66,Online,VIP,Renee
ORD-100076,2023-09-28,CUST-3971,Courtney Nicholson,Benin City,South South,PROD-470,Electronics,Laptops,5,84576.89,0.2,338307.56,37604.12,POS,Regular,Jerry
ORD-100077,2024-04-28,CUST-3096,Vanessa Cervantes,Abeokuta,South West,PROD-221,Beauty,Makeup,9,4663.84,0.12,36937.61,4745.81,Online,New,Jeffrey
ORD-100078,2024-05-06,CUST-1628,Troy Peters,Abeokuta,South West,PROD-926,Clothing,Women's Wear,8,140728.49,0.03,1092053.08,124943.2,Online,New,Andrew
ORD-100079,2023-07-12,CUST-2769,Christina King,Benin City,South South,PROD-924,Electronics,Laptops,5,129746.16,0.22,506010.02,103481.12,POS,VIP,Robert
ORD-100080,2023-10-27,CUST-2827,Anita Klein,Benin City,South South,PROD-515,Home,Kitchen,3,5299.37,0.12,13990.34,1578.11,POS,Regular,Scott
ORD-100081,2024-10-10,CUST-8484,Sarah Cummings,Lagos,South West,PROD-609,Home,Furniture,6,122087.35,0.0,732524.1,51054.43,POS,Regular,Jerry
ORD-100082,2024-07-02,CUST-1160,Lisa Sanders,Benin City,South South,PROD-652,Home,Kitchen,7,136573.37,0.09,869972.37,118502.14,POS,Regular,Kevin
ORD-100083,2024-10-17,CUST-9207,Kevin Sims,Port Harcourt,South South,PROD-356,Clothing,Kids,8,109652.78,0.18,719322.24,174866.21,Online,New,Robert
ORD-100084,2024-11-13,CUST-4508,Tanya Hogan,Abeokuta,South West,PROD-209,Beauty,Makeup,3,144788.07,0.02,425676.93,46988.02,Cash,VIP,Christopher
ORD-100085,2023-08-08,CUST-5097,Daniel Hernandez,Ibadan,South West,PROD-735,Beauty,Haircare,10,66310.43,0.2,530483.44,148669.96,POS,New,Kimberly
ORD-100086,2023-01-28,CUST-7179,Ashley Jennings,Ibadan,South West,PROD-116,Beauty,Makeup,5,95303.15,0.04,457455.12,118420.82,POS,VIP,Renee
ORD-100087,2024-08-05,CUST-2854,Adrienne Allen,Lagos,South West,PROD-146,Home,Furniture,3,70596.87,0.16,177904.11,32358.04,Online,VIP,Christopher
ORD-100088,2023-04-17,CUST-4943,Joseph Lopez MD,Port Harcourt,South South,PROD-750,Home,Decor,3,120700.83,0.24,275197.89,69798.49,Cash,New,Christopher
ORD-100089,2023-02-22,CUST-6781,Sean Huff,Kano,North West,PROD-235,Home,Decor,6,111834.98,0.14,577068.5,129939.11,Cash,VIP,Kimberly
ORD-100090,2023-06-15,CUST-8579,Robert Cox,Ibadan,South West,PROD-355,Beauty,Makeup,2,40052.24,0.28,57675.23,6444.92,POS,Regular,Robert
ORD-100091,2024-04-11,CUST-8968,Jennifer Reynolds,Port Harcourt,South South,PROD-146,Clothing,Women's Wear,2,84579.3,0.1,152242.74,18106.25,POS,VIP,Jerry
ORD-100092,2024-01-18,CUST-9979,Spencer Trujillo,Lagos,South West,PROD-413,Electronics,Phones,9,19455.87,0.02,171600.77,19043.75,POS,Regular,Robert
ORD-100093,2024-05-14,CUST-1035,James Trujillo,Lagos,South West,PROD-663,Clothing,Women's Wear,2,11840.29,0.11,21075.72,5067.1,POS,Regular,Christopher
ORD-100094,2023-02-18,CUST-1646,Tyler Green,Ibadan,South West,PROD-318,Clothing,Kids,9,30153.45,0.25,203535.79,36663.0,Online,VIP,Kevin
ORD-100095,2024-05-07,CUST-4849,Richard Maddox,Abuja,North Central,PROD-235,Clothing,Men's Wear,10,44643.31,0.21,352682.15,68274.36,Cash,Regular,Jonathan
ORD-100096,2024-02-02,CUST-7317,Nicole Thomas,Port Harcourt,South South,PROD-978,Beauty,Skincare,4,103559.4,0.09,376956.22,81822.99,POS,VIP,Scott
ORD-100097,2024-08-21,CUST-4216,Jason Travis,Ibadan,South West,PROD-879,Electronics,Accessories,10,30422.41,0.28,219041.35,14694.06,Cash,New,Kevin
ORD-100098,2024-08-19,CUST-6916,Darin Carter,Benin City,South South,PROD-246,Home,Furniture,8,71742.63,0.13,499328.7,126330.46,POS,Regular,Kimberly
ORD-100099,2023-04-04,CUST-8417,Anthony Burton Jr.,Benin City,South South,PROD-918,Home,Decor,9,94140.82,0.09,771013.32,201274.77,Online,Regular,Allison
ORD-100100,2023-04-05,CUST-2272,Dale Hudson,Abuja,North Central,PROD-199,Electronics,Phones,10,41263.21,0.29,292968.79,75039.16,Cash,Regular,Brian
ORD-100101,2024-12-26,CUST-5180,Paul Tucker,Lagos,South West,PROD-187,Beauty,Makeup,8,130805.52,0.13,910406.42,244062.05,POS,New,Andrew
ORD-100102,2024-03-11,CUST-2923,Michael Sharp,Abuja,North Central,PROD-882,Clothing,Men's Wear,2,53908.43,0.22,84097.15,6485.85,Cash,Regular,Robert
ORD-100103,2024-11-30,CUST-3706,John Bailey,Benin City,South South,PROD-125,Electronics,Accessories,10,98122.18,0.22,765353.0,205958.68,POS,VIP,Robert
ORD-100104,2023-11-30,CUST-2445,Rachel West,Enugu,South East,PROD-799,Beauty,Makeup,10,85633.53,0.04,822081.89,130171.9,POS,Regular,Brian
ORD-100105,2023-09-15,CUST-1561,Justin Richards,Benin City,South South,PROD-162,Electronics,Laptops,5,63486.03,0.28,228549.71,19144.61,Online,VIP,Renee
ORD-100106,2023-01-21,CUST-4322,Lauren Buckley,Abeokuta,South West,PROD-449,Clothing,Men's Wear,3,113485.17,0.17,282578.07,72307.33,POS,New,Brian
ORD-100107,2024-04-21,CUST-4697,Christina Palmer,Ibadan,South West,PROD-555,Clothing,Women's Wear,1,117833.01,0.14,101336.39,6184.22,Online,New,Charles
ORD-100108,2023-04-05,CUST-5722,Mark Garrett,Abeokuta,South West,PROD-373,Electronics,Accessories,6,120011.26,0.09,655261.48,182310.47,Cash,VIP,Scott
ORD-100109,2023-09-12,CUST-1622,Matthew Brown,Port Harcourt,South South,PROD-483,Beauty,Skincare,6,19465.37,0.13,101609.23,23760.84,Online,Regular,Brian
ORD-100110,2023-07-24,CUST-4441,Caitlyn Nelson,Lagos,South West,PROD-966,Home,Kitchen,3,4270.06,0.13,11144.86,3109.17,Online,Regular,Kevin
ORD-100111,2024-05-29,CUST-8197,Sierra Banks,Port Harcourt,South South,PROD-454,Electronics,Laptops,8,63035.62,0.22,393342.27,107576.5,Cash,VIP,Christopher
ORD-100112,2023-10-19,CUST-8203,Suzanne Holland,Benin City,South South,PROD-739,Clothing,Men's Wear,6,128457.43,0.06,724499.91,195097.38,POS,VIP,Brian
ORD-100113,2024-11-28,CUST-8104,Alexandra Duran,Lagos,South West,PROD-617,Clothing,Women's Wear,1,34651.2,0.12,30493.06,6612.19,Cash,New,Rebecca
ORD-100114,2023-12-09,CUST-6367,Shane Sanchez,Abuja,North Central,PROD-318,Beauty,Haircare,2,76622.34,0.27,111868.62,22640.88,Cash,VIP,Kevin
ORD-100115,2023-11-03,CUST-8057,Jason Russell,Port Harcourt,South South,PROD-351,Clothing,Kids,10,70259.27,0.09,639359.36,66793.21,Online,Regular,Renee
ORD-100116,2023-05-20,CUST-8899,Luis Padilla,Abeokuta,South West,PROD-138,Clothing,Women's Wear,10,136161.41,0.27,993978.29,285712.34,Cash,New,Christopher
ORD-100117,2024-10-05,CUST-7646,Kyle Griffin,Ibadan,South West,PROD-378,Electronics,Laptops,1,7196.33,0.03,6980.44,823.72,Online,Regular,Jeffrey
ORD-100118,2023-07-01,CUST-7674,Brandon Burgess,Benin City,South South,PROD-632,Electronics,Accessories,3,63189.77,0.08,174403.77,48909.9,POS,VIP,Jerry
ORD-100119,2024-12-30,CUST-3769,Corey Walters,Ibadan,South West,PROD-744,Beauty,Makeup,2,114166.81,0.04,219200.28,47932.11,Online,New,Kevin
ORD-100120,2023-02-15,CUST-1119,Bruce Saunders,Port Harcourt,South South,PROD-954,Beauty,Haircare,2,99476.46,0.19,161151.87,11815.79,POS,VIP,Andrew
ORD-100121,2023-04-13,CUST-1844,Christopher Cook,Enugu,South East,PROD-292,Clothing,Kids,7,97584.89,0.1,614784.81,144062.6,Cash,VIP,Allison
ORD-100122,2024-06-05,CUST-6742,Wendy Livingston,Kano,North West,PROD-842,Clothing,Women's Wear,3,127731.34,0.07,356370.44,38566.01,Online,New,Jerry
ORD-100123,2024-02-09,CUST-6347,Kathy Turner,Kano,North West,PROD-912,Clothing,Women's Wear,7,139091.11,0.3,681546.44,200181.27,Online,New,Charles
ORD-100124,2023-02-08,CUST-1477,Kyle Padilla,Ibadan,South West,PROD-595,Beauty,Haircare,3,62705.75,0.01,186236.08,22277.7,POS,Regular,Allison
ORD-100125,2024-06-30,CUST-6116,Justin Harris,Enugu,South East,PROD-963,Home,Decor,1,31938.67,0.25,23954.0,1448.27,Online,Regular,Kevin
ORD-100126,2023-06-01,CUST-4660,Douglas Nunez,Abeokuta,South West,PROD-638,Electronics,Accessories,2,52695.7,0.17,87474.86,11150.76,Cash,VIP,Scott
ORD-100127,2023-03-29,CUST-5940,Amber Flores,Enugu,South East,PROD-611,Beauty,Makeup,6,28614.5,0.11,152801.43,14083.23,Cash,VIP,Jeffrey
ORD-100128,2024-05-16,CUST-2038,Faith Richardson,Port Harcourt,South South,PROD-722,Clothing,Women's Wear,8,90888.04,0.19,588954.5,151110.09,POS,Regular,Scott
ORD-100129,2024-01-07,CUST-9046,John Thomas,Benin City,South South,PROD-194,Electronics,Laptops,8,51294.82,0.14,352908.36,26778.82,POS,Regular,Andrew
ORD-100130,2023-08-25,CUST-9988,Andrea Hamilton,Abuja,North Central,PROD-429,Beauty,Haircare,5,46458.18,0.01,229967.99,44292.49,Online,VIP,Robert
ORD-100131,2023-11-20,CUST-6060,Frank Swanson,Enugu,South East,PROD-416,Beauty,Haircare,10,102454.98,0.23,788903.35,67885.93,Online,Regular,Rebecca
ORD-100132,2024-04-25,CUST-8454,Kathleen Butler,Abeokuta,South West,PROD-323,Clothing,Men's Wear,3,89648.38,0.02,263566.24,51370.5,Online,VIP,Brian
ORD-100133,2024-10-22,CUST-9439,Melinda Vargas,Lagos,South West,PROD-455,Home,Kitchen,1,33916.32,0.29,24080.59,5122.89,Online,Regular,Donald
ORD-100134,2023-12-14,CUST-5800,Casey Dodson,Abuja,North Central,PROD-561,Clothing,Kids,4,23528.99,0.1,84704.36,12568.89,POS,VIP,Andrew
ORD-100135,2024-04-22,CUST-6995,Gene Brown,Port Harcourt,South South,PROD-765,Electronics,Phones,9,139250.46,0.28,902342.98,183039.76,POS,New,Donald
ORD-100136,2024-09-03,CUST-2386,Evan Brown,Ibadan,South West,PROD-713,Electronics,Phones,9,66473.22,0.07,556380.85,61893.5,POS,Regular,Rebecca
ORD-100137,2023-07-07,CUST-7594,Vickie Clark,Port Harcourt,South South,PROD-876,Electronics,Phones,3,107152.18,0.15,273238.06,22214.21,Cash,VIP,Kimberly
ORD-100138,2023-03-01,CUST-2191,Kimberly Wilson,Lagos,South West,PROD-893,Beauty,Makeup,3,88910.8,0.28,192047.33,36511.32,Cash,New,Jerry
ORD-100139,2024-01-05,CUST-9281,Michelle Martinez,Abeokuta,South West,PROD-357,Home,Decor,1,22258.49,0.02,21813.32,5492.35,Cash,VIP,Scott
ORD-100140,2023-06-01,CUST-7313,Eric Hernandez,Benin City,South South,PROD-432,Beauty,Makeup,10,99467.37,0.29,706218.33,48986.75,Cash,VIP,Kevin
ORD-100141,2024-06-10,CUST-6500,Christopher Stevenson,Ibadan,South West,PROD-588,Beauty,Haircare,5,44157.27,0.14,189876.26,42303.56,POS,New,Renee
ORD-100142,2024-05-23,CUST-4759,Caleb Richards,Lagos,South West,PROD-216,Clothing,Men's Wear,10,108291.31,0.23,833843.09,169475.29,POS,VIP,Jonathan
ORD-100143,2023-09-08,CUST-6962,Andrew Reynolds,Benin City,South South,PROD-393,Electronics,Accessories,3,10825.9,0.17,26956.49,3846.99,POS,VIP,Allison
ORD-100144,2024-11-19,CUST-5507,Karen Hodges,Abuja,North Central,PROD-771,Beauty,Makeup,1,67897.27,0.01,67218.3,5143.59,POS,Regular,Donald
ORD-100145,2023-01-28,CUST-4419,Brian Day,Abeokuta,South West,PROD-687,Electronics,Laptops,5,125022.52,0.0,625112.6,38624.75,POS,New,Scott
ORD-100146,2024-03-23,CUST-6206,Randy Owen,Abuja,North Central,PROD-360,Clothing,Kids,1,111198.08,0.14,95630.35,5689.25,POS,New,Brian
ORD-100147,2024-04-26,CUST-8515,Amber Rivas,Port Harcourt,South South,PROD-768,Beauty,Haircare,2,12765.05,0.03,24764.2,5786.62,Cash,VIP,Allison
ORD-100148,2023-07-21,CUST-6548,Dr. Lisa Gallagher,Kano,North West,PROD-855,Electronics,Accessories,10,84939.89,0.24,645543.16,79146.88,POS,New,Rebecca
ORD-100149,2024-01-08,CUST-7900,Julia Griffin,Benin City,South South,PROD-626,Clothing,Women's Wear,2,113919.07,0.2,182270.51,21123.18,Cash,New,Donald
ORD-100150,2023-11-19,CUST-5672,Mr. Jacob Hawkins DDS,Enugu,South East,PROD-163,Home,Furniture,3,99515.17,0.02,292574.6,22981.59,POS,VIP,Jeffrey
ORD-100151,2024-10-18,CUST-2415,Kaitlin Chang,Lagos,South West,PROD-624,Clothing,Women's Wear,7,26172.89,0.23,141071.88,16868.1,Cash,Regular,Jonathan
ORD-100152,2023-09-07,CUST-5313,Frank Phillips,Abeokuta,South West,PROD-185,Home,Decor,8,134109.88,0.09,976319.93,53131.27,Cash,VIP,Jonathan
ORD-100153,2023-02-03,CUST-7503,Beverly Hendricks,Enugu,South East,PROD-804,Electronics,Laptops,3,45039.32,0.05,128362.06,35682.69,Online,VIP,Christopher
ORD-100154,2023-11-25,CUST-8857,Monica Coffey,Ibadan,South West,PROD-233,Electronics,Accessories,4,129627.87,0.21,409624.07,113939.44,Cash,VIP,Rebecca
ORD-100155,2023-04-16,CUST-8850,Patricia Cannon,Kano,North West,PROD-799,Clothing,Women's Wear,4,23734.69,0.07,88293.05,24721.08,POS,VIP,Jerry
ORD-100156,2023-11-02,CUST-5110,Charles Lam,Enugu,South East,PROD-798,Electronics,Accessories,10,143135.59,0.18,1173711.84,267938.67,Cash,Regular,Jerry
ORD-100157,2023-08-26,CUST-8938,Dean Coleman,Abeokuta,South West,PROD-659,Electronics,Accessories,3,114415.35,0.02,336381.13,55691.16,Online,Regular,Kimberly
ORD-100158,2024-10-28,CUST-5790,John Wells,Kano,North West,PROD-748,Home,Furniture,7,42564.17,0.14,256236.3,58475.65,Cash,VIP,Allison
